Episode,Average Speed
1,0.08809523809523809
1,0.08887959866220728
2,0.09063545150501662
3,0.08662207357859522
4,0.08662207357859526
5,0.08815789473684205
6,0.08536789297658855
7,0.08595317725752499
8,0.08762541806020058
9,0.08737458193979925
10,0.08704013377926412
11,0.08612040133779258
12,0.0888795986622073
13,0.09113712374581935
14,0.08712374581939791
15,0.08344481605351163
16,0.08444816053511697
17,0.07774193548387096
18,0.08854515050167219
19,0.08394648829431431
20,0.08637123745819392
21,0.08386287625418054
22,0.08996655518394636
23,0.085200668896321
24,0.08938127090300999
25,0.08428093645484941
26,0.08946488294314367
27,0.08637123745819389
28,0.08653846153846144
29,0.08862876254180595
30,0.08503344481605343
31,0.08653846153846143
32,0.08913043478260861
33,0.08553511705685617
34,0.08377926421404676
35,0.084623430962343
36,0.08871237458193973
37,0.08704013377926417
38,0.08453177257525077
39,0.08595317725752503
40,0.08469899665551835
41,0.08645484949832766
42,0.07943143812709028
43,0.0826086956521739
44,0.08586956521739127
45,0.08603678929765878
46,0.08787625418060194
47,0.08327759197324407
48,0.07647679324894512
49,0.08294314381270895
50,0.07285714285714287
51,0.08578595317725744
52,0.08411371237458183
53,0.08628762541806008
54,0.08378048780487801
55,0.08795986622073568
56,0.08662207357859522
57,0.0916666666666667
58,0.08637123745819386
59,0.08612040133779254
60,0.08453177257525078
61,0.07623966942148762
62,0.08829431438127085
63,0.09030249110320272
64,0.08285953177257521
65,0.08461538461538456
66,0.08670568561872899
67,0.08829431438127079
68,0.08821070234113702
69,0.08586956521739122
70,0.08812709030100328
71,0.08669491525423727
72,0.07088235294117648
73,0.08361204013377917
74,0.08771186440677958
75,0.08745819397993304
76,0.08047138047138049
77,0.07899408284023668
78,0.08520066889632108
79,0.08829431438127083
80,0.08545150501672236
81,0.08017241379310347
82,0.08829431438127083
83,0.0875418060200668
84,0.07011494252873562
85,0.08787625418060195
86,0.08450292397660819
87,0.08862876254180592
88,0.08871237458193972
89,0.08509433962264143
90,0.08979933110367888
91,0.09080267558528422
92,0.08629893238434155
93,0.0857023411371237
94,0.08570234113712367
95,0.08505291005291007
96,0.08628762541806016
97,0.08098086124401913
98,0.0865254237288135
99,0.0812015503875969
100,0.08754940711462443
101,0.08294223826714797
102,0.08720735785953174
103,0.07316513761467888
104,0.08678929765886277
105,0.08520066889632105
106,0.08311036789297659
107,0.08612040133779254
108,0.08678929765886281
109,0.0890468227424749
110,0.08729096989966544
111,0.08503344481605345
112,0.08637123745819394
113,0.08260869565217388
114,0.08979933110367888
115,0.06443661971830986
116,0.09172240802675583
117,0.08720735785953174
118,0.08666077738515891
119,0.08561872909698987
120,0.08737458193979922
121,0.08616600790513826
122,0.0855351170568561
123,0.08687290969899654
124,0.08662207357859522
125,0.09088628762541798
126,0.08879598662207351
127,0.08227424749163872
128,0.0843645484949832
129,0.0863712374581939
130,0.08511705685618724
131,0.08585365853658534
132,0.08846153846153836
133,0.08729096989966549
134,0.08350622406639002
135,0.09071906354515046
136,0.0836120401337792
137,0.07448453608247424
138,0.08645484949832774
139,0.09038461538461533
140,0.08729096989966544
141,0.07409909909909908
142,0.08411371237458194
143,0.08235785953177245
144,0.0860367892976588
145,0.09038461538461533
146,0.08266666666666661
147,0.07909604519774012
148,0.08436454849498325
149,0.08394648829431431
150,0.0789308176100629
151,0.08593189964157705
152,0.09013377926421398
153,0.0871237458193979
154,0.08494983277591962
155,0.0868729096989966
156,0.09009803921568622
157,0.08523890784982929
158,0.0889194139194138
159,0.0907190635451504
160,0.08787625418060194
161,0.08561872909698982
162,0.08361204013377914
163,0.08720735785953168
164,0.0841296928327645
165,0.08821070234113705
166,0.08629441624365479
167,0.0888795986622072
168,0.08762541806020058
169,0.07038834951456312
170,0.08729096989966546
171,0.08938127090300994
172,0.08026755852842804
173,0.0861204013377926
174,0.08620401337792637
175,0.0835284280936454
176,0.08963210702341128
177,0.08277591973244143
178,0.07810457516339869
179,0.08866782006920408
180,0.08687290969899658
181,0.08620401337792635
182,0.08804347826086953
183,0.08511705685618715
184,0.08258293838862558
185,0.08695652173913035
186,0.08260869565217388
187,0.08988294314381261
188,0.08687290969899654
189,0.08545150501672236
190,0.08779264214046813
191,0.08745819397993304
192,0.08670568561872903
193,0.07810457516339869
194,0.08612040133779261
195,0.08620401337792637
196,0.08570234113712363
197,0.09005016722408017
198,0.08026755852842807
199,0.08645484949832771
200,0.085200668896321
201,0.08600682593856648
202,0.08578595317725743
203,0.08745819397993304
204,0.0838628762541805
205,0.08536789297658857
206,0.08670568561872902
207,0.07157894736842108
208,0.08210702341137117
209,0.08637123745819392
210,0.08754180602006685
211,0.08244147157190632
212,0.08938127090300996
213,0.08971571906354507
214,0.08234463276836154
215,0.08503344481605345
216,0.08427672955974838
217,0.08704013377926416
218,0.08662207357859524
219,0.08586956521739125
220,0.08678929765886279
221,0.08298816568047337
222,0.08570234113712363
223,0.08536789297658853
224,0.08720735785953171
225,0.08687290969899655
226,0.06000000000000001
227,0.08787625418060194
228,0.08712374581939791
229,0.08695652173913032
230,0.08770903010033435
231,0.08346994535519121
232,0.08712374581939794
233,0.08595317725752498
234,0.083695652173913
235,0.08561872909698989
236,0.08662207357859524
237,0.08762541806020065
238,0.08829431438127085
239,0.08695652173913036
