Episode,Number of Falls
1,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,3
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,5
42,5
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,6
52,6
53,7
54,7
55,8
56,8
57,9
58,9
59,10
60,11
61,11
62,12
63,12
64,12
65,12
66,12
67,13
68,13
69,13
70,13
71,14
72,14
73,14
74,15
75,16
76,16
77,16
78,16
79,16
80,16
81,16
82,16
83,16
84,16
85,16
86,16
87,17
88,17
89,17
90,18
91,18
92,18
93,18
94,18
95,19
96,19
97,19
98,19
99,19
100,19
101,19
102,20
103,21
104,21
105,22
106,23
107,23
108,23
109,24
110,25
111,26
112,27
113,27
114,27
115,27
116,27
117,27
118,27
119,28
120,28
121,29
122,29
123,29
124,30
125,30
126,30
127,30
128,31
129,32
130,32
131,32
132,32
133,32
134,32
135,33
136,34
137,34
138,35
139,35
140,35
141,35
142,35
143,36
144,37
145,37
146,37
147,38
148,39
149,39
150,40
151,41
152,41
153,41
154,41
155,41
156,41
157,41
158,42
159,42
160,42
161,42
162,42
163,42
164,43
165,43
166,43
167,43
168,43
169,44
170,44
171,44
172,44
173,44
174,44
175,44
176,45
177,45
178,45
179,45
180,45
181,45
182,46
183,46
184,46
185,46
186,47
187,47
188,47
189,47
190,47
191,47
192,47
193,47
194,47
195,48
196,48
197,49
198,49
199,50
200,50
201,50
202,50
203,51
204,51
205,51
206,51
207,51
208,51
209,51
210,51
211,51
212,52
213,52
214,52
215,52
216,52
217,52
218,52
219,52
220,52
221,52
222,52
223,53
224,53
225,53
226,53
227,53
228,53
229,53
230,54
231,54
232,54
233,54
234,54
235,54
236,54
237,55
238,55
239,55
240,55
241,55
242,55
243,55
244,55
245,55
246,56
247,56
248,57
249,57
250,57
251,57
252,57
253,57
254,57
255,57
256,57
257,57
258,57
259,57
260,57
261,57
262,58
263,58
264,58
265,59
266,59
267,60
268,60
269,60
270,60
271,60
272,60
273,61
274,61
275,61
276,61
277,62
278,62
279,62
280,62
281,63
282,63
283,63
284,63
285,63
286,64
287,64
288,64
289,64
290,64
291,64
292,64
293,64
294,64
295,65
296,66
297,66
298,66
299,66
300,66
301,66
302,66
303,66
304,66
305,66
306,66
307,66
308,66
309,66
310,66
311,67
312,67
313,67
314,67
315,67
316,67
317,67
318,68
319,68
320,68
321,68
322,68
323,68
324,68
325,68
326,68
327,68
328,69
329,69
330,69
331,69
332,69
333,69
334,70
335,70
336,70
337,70
338,71
339,71
340,71
341,71
342,71
343,71
344,71
345,71
346,71
347,71
348,71
349,71
350,71
351,71
352,71
353,71
354,71
355,71
356,71
357,71
358,71
359,71
360,71
361,71
362,72
363,72
364,72
365,73
366,73
367,73
368,73
369,74
370,74
371,74
372,74
373,74
374,74
375,74
376,74
377,74
378,74
379,74
380,75
381,75
382,75
383,75
384,76
385,76
386,76
387,76
388,76
389,76
390,76
391,76
392,76
393,76
394,76
395,76
396,76
397,76
398,76
399,76
400,76
401,76
402,76
403,76
404,76
405,76
406,77
407,78
408,78
409,78
410,78
411,79
412,80
413,80
414,80
415,81
416,81
417,81
418,81
419,82
420,82
421,82
422,83
423,83
424,83
425,83
426,83
427,83
428,83
429,84
430,84
431,84
432,84
433,84
434,84
435,84
436,84
437,84
438,84
439,84
440,84
441,84
442,84
443,84
444,84
445,84
446,84
447,84
448,84
449,84
450,84
451,84
452,84
453,84
454,84
455,85
456,85
457,85
458,85
459,85
460,85
461,85
462,85
463,85
464,85
465,85
466,85
467,85
468,85
469,85
470,85
471,85
472,85
473,85
474,85
475,85
476,86
477,87
478,87
479,87
480,87
481,87
482,87
483,87
484,87
485,87
486,88
487,88
488,88
489,88
490,88
491,88
492,88
493,88
